foodCategory,community_areas,venue_id,likes
Zoo Exhibit,Edgewater,59bde5da112c6c4420e6855b,0
Zoo Exhibit,Washington Park,4df7fd0e091a16724ce23bd2,1
Zoo Exhibit,McKinley Park,4eb392a6775b544c2679d255,0
Zoo,Hegewisch,5b3819b4d48ec1002cd35dac,1
Yoga Studio,Near North Side,4b6dbf32f964a520f58b2ce3,2
Water Park,Belmont Cragin,519ede18498e9f35db56b2af,0
Water Park,Lincoln Square,4faac8ebe4b0381a4889e24b,0
Water Park,Garfield Ridge,51cf548f498ea981b46c7150,0
Water Park,Avondale,4bffffb3369476b037ac8e1f,0
Water Park,Kenwood,5216bf5611d2f480bbb13396,0
Water Park,Rogers Park,4ec84fd0f5b9e8819393409d,0
Water Park,Uptown,4e58de8318388cd5cb9ace28,3
Water Park,Forest Glen,4ec03f536da15b4ddf3a9460,0
Water Park,West Town,4ce97a8afe90a35dabb6480e,0
Water Park,West Town,4dc4a79918387d1bd529d815,0
Water Park,Lincoln Square,4e3ccb22d164b52911a4fe97,0
Water Park,Lincoln Park,53d3037c498e98513a7cfbac,2
Water Park,Lincoln Park,53996247498e1b0751cc1036,0
Water Park,Forest Glen,4fff51bde4b0a816c6f870c7,0
Water Park,Irving Park,52169092498efbd0a720d46c,1
Water Park,Montclare,4fca17dee4b0f5988740b5e5,0
Water Park,Belmont Cragin,4dbd83c2815439392fb0b1f4,1
Water Park,Avondale,5968fdaf1fa763356713cf68,0
Water Park,Chatham,4fe782b9e4b005c24e8b34c4,0
Travel,Near South Side,4ded40b0814d56e3082fe12a,19
Tour Provider,Albany Park,5d98babef006540008634edb,0
Tour Provider,Albany Park,4bd9ed640ef39c742da11d2d,10
Tour Provider,Douglas,5b81daae1f8ed6002cbda9d8,32
Tour Provider,Lake View,4f58f995e5e8b03c1f1f97d7,1
Tour Provider,Austin,5b5e1b46345cbe002c23f86b,0
Tour Provider,Brighton Park,51fd0da2498e4002401d0b4f,1
Theme Park,Douglas,4fe55852e4b01b7b6b9c0a43,0
Theme Park,Logan Square,4ed676316c25b696b4de4f02,0
Theme Park,Dunning,4e17be201f6eb9559873af2b,0
Theme Park,Edison Park,4d813773208a54812e728367,0
Theme Park,Logan Square,4e4dcfea45ddff0031a9f581,0
Theme Park,Logan Square,509f3b02e4b005ec00b1e377,2
Theme Park,Near North Side,5369180c498e34d9de8447df,16
Theme Park,Uptown,4e1fbca1ae6015b21294b5f7,2
Theme Park,Irving Park,4f56315b7b0ca24d3568738a,0
Theme Park,Lake View,50c2789ce4b0bde4a8827e32,0
Theme Park,West Town,4c3e88920e0d0f4778c8157f,0
Theme Park,Lincoln Park,4c02d6ab39d476b0e1432fa7,0
Theme Park,Lincoln Park,4c5629fafb5aa5930174407f,0
Theme Park,North Center,4fbda0f7e4b0020ade4ebea2,0
Theme Park,West Town,50f112a7e4b06fac798a35b7,0
Theme Park,West Town,4fd36027e4b0a1f006af6247,0
Theme Park,Washington Park,4f0b64c9e4b0540ca51a47e4,0
Theme Park,Near West Side,50b13d29e4b08847db8d6503,0
Theme Park,Rogers Park,4e5b1a8fb99373257a000ff9,0
Theme Park,Lincoln Park,5617c4ee498e544a45e8dedc,1
Theme Park,Norwood Park,55d8c8cd498eb815b0402b3d,1
Theme Park,Forest Glen,4dc0dd677d8bf48713b5e078,0
Theme Park,Belmont Cragin,4fc809b3e4b059f599129eeb,0
Theme Park,Avondale,4f26dff9e4b0d10db2df58a8,2
Theme Park,Humboldt Park,4fc92991e4b01d030bcb1bef,0
Theme Park,North Lawndale,4dbda8040cb691071cbf0b42,2
Theme Park,Washington Park,5040d470e4b0f7ca2bb271a4,0
Theme Park,Roseland,51e10b5f498ed6f7a4e23358,0
Theme Park,Pullman,4e232505a80968cf3e511945,0
Theme Park,Chicago Lawn,509f9924e4b0c4d83cac057d,0
Theme Park,Beverly,4fda99bde4b0d1917d3dbe47,0
Theme Park,Beverly,4e80bbf410812dd7061c7708,0
Theme Park,Morgan Park,4f8a1b27e4b0af4d4e90d094,0
Theater,Albany Park,508cc08ae4b08e7b43cd7b70,0
Theater,Edgewater,4e8f9d7cdab46521c0bf66fa,1
Theater,Edgewater,54c6ad16498e205c48b7cb49,27
Theater,Edgewater,4f9c89ebe4b05e5ed7f403a9,0
Theater,Edgewater,4b9af099f964a52026e535e3,4
Theater,Armour Square,4f85d858e4b0d19a2f3fb679,0
