foodCategory,community_areas,venue_id,likes
Pizza,Albany Park,4acbd588f964a520edc720e3,1107
Coffee Shop,Albany Park,4ada07c1f964a5207c1d21e3,125
Tacos,Albany Park,5ac3b9ba78782c2baa00ffc1,20
Bar,Albany Park,4b7ecfe4f964a520470130e3,471
Steakhouse,Albany Park,500efc40e4b0e6ec47971a9e,415
Donuts,Albany Park,51094b2ce4b04df5935bccba,559
Mediterranean,Albany Park,577563d5498e8d2eb29bd25d,157
Fast Food,Albany Park,4a998f8bf964a520112f20e3,209
Hot Dogs,Albany Park,49f3473cf964a5207f6a1fe3,2204
American,Albany Park,5c76d5ff12f0a9002cb4899e,15
Italian,Albany Park,50f58653e4b0e1058164dc7e,605
New American,Albany Park,49cd0720f964a520aa591fe3,570
Italian,Albany Park,59deb72f061b514b32a062af,71
Seafood,Albany Park,5e14e8f1a10b9200083472de,7
Noodles,Albany Park,536f0074498e444ed7877dc6,428
Tiki Bar,Albany Park,51f7183b8bbdc6a6ae21592e,916
Pub,Albany Park,40b28c80f964a52045fb1ee3,282
Restaurant,Albany Park,4f88a48be4b0e6f347cfe5b9,592
Steakhouse,Albany Park,53628259498e193fbfdc62c7,252
Mediterranean,Albany Park,5393ae0a498e3d1061d5a8ee,1
Restaurant,Albany Park,4f220cace4b01b0c5d02725f,1
American,Albany Park,50abc861e4b05be2db0103fb,0
Food,Albany Park,4f3215ae19836c91c7b43aa5,1
BBQ,Albany Park,4fe3c24fe4b002442ebe56c0,1
Sandwiches,Albany Park,4e8b4f44550385f0955329e8,0
Breakfast,Albany Park,4d07b941e350b60c49f69342,197
Donuts,Albany Park,4d9b5f6273df8cfa158ef5ec,292
Italian,Albany Park,5f431012e9102a78a0300fc2,1
Seafood,Albany Park,4d87638bf9f3a1cd1abbf164,413
Sushi,Albany Park,58f635feda2e000a45444bb3,3
Peruvian,Albany Park,51f6821e498eb0e342bbf904,352
Bar,Albany Park,5972a0ab4b78c50ff3f784c3,76
Steakhouse,Albany Park,5544396e498e1e2d82b56c7f,157
Asian,Albany Park,5b8706d28ad62e0039a0e969,45
Cuban,Albany Park,4ac92280f964a520cbbe20e3,134
Italian,Albany Park,4f1322f3e4b0725fed919ce7,698
Middle Eastern,Albany Park,52a2640711d2abd7704d3e9e,41
Middle Eastern,Albany Park,4f8a0fb6e4b0ab5c888e9b65,24
American,Albany Park,4d2e08bed9d8a143bddbf5d7,5
Fried Chicken,Albany Park,4f3acf25e4b0e05bcec6dd92,0
Pizza,Albany Park,4e4e2862bd4101d0d7a393e8,0
Cuban,Albany Park,5758dbef498e050102c6d6bf,13
Seafood,Albany Park,4cbbbde29552b60cb4ece18b,0
Deli / Bodega,Albany Park,4c8e85adef86ef3b2baeeeab,1
Pizza,Albany Park,4e20f7801838712abe6d5058,0
Food Truck,Albany Park,4e17db7614957dc705d2230c,1
Thai,Albany Park,4bcf7fa641b9ef3b5590f8e5,4
Pizza,Albany Park,4b7f25d8f964a520371a30e3,2
Hot Dogs,Albany Park,582e264da55db032fe4d45be,0
Pizza,Albany Park,4bd24e979854d13a7e85fb4d,64
Pizza,Albany Park,4f324c5119836c91c7c9ea71,4
Coffee Shop,Albany Park,4f32134219833175d60e0d16,0
Mexican,Albany Park,5133fa88e4b082688cfc4565,2
BBQ,Albany Park,523f5a3c498ed45f2b39ce68,0
Korean,Albany Park,4c1d569e8b3aa5931c749a5f,33
Pie Shop,Albany Park,4c3660afdfb0e21e6bfeaaa8,28
Coffee Shop,Albany Park,57374a0d498ebf37c34d325d,1
Latin American,Albany Park,4bf338c094af2d7f064c3972,4
Mexican,Albany Park,4dd71fa4fa76ad96d11dd5e2,2
Ice Cream,Albany Park,53389fc2498eab47bd1c32ad,27
Pizza,Albany Park,4b528316f964a520928027e3,29
Filipino,Albany Park,51769e9c498e11b0f95ae3ff,0
Mexican,Albany Park,534de581498e0f8a9c76e1c1,0
Mexican,Albany Park,4cd037fb2fd9b60cf1fe7feb,1
Hot Dogs,Albany Park,4dfd301c227185f38b97a299,0
Latin American,Albany Park,50a82bcde4b069239ddd7186,0
Latin American,Albany Park,521414bf498e217d200d4152,0
Thai,Albany Park,4b73128df964a5209a992de3,8
Mexican,Archer Heights,5c0b56f34a1cc0002c1ba675,3
Mexican,Archer Heights,4e4e31e9bd4101d0d7a476e0,7
Restaurant,Archer Heights,5aa343aeea1e440eb97b6bd4,4
Restaurant,Archer Heights,593445cd340a587e43bca2c3,6
Seafood,Archer Heights,5f07a877c7ffdd76d27b56fa,0
